model,score,timestep,number_of_edges_pos,number_of_edges_neg,test_agg,duplicate_edges,predictor,loss_func
GraphSage,0.6959591555989779,0,20940,20940,True,True,dotProduct,BCEWithLogits
GraphConv,0.700960219478738,126800,81,81,False,True,dotProduct,BCEWithLogits
GraphConv,0.6904899691358024,126820,72,72,False,True,dotProduct,BCEWithLogits
GraphConv,0.7009216008079788,126840,89,89,False,True,dotProduct,BCEWithLogits
GraphConv,0.6598837209302325,126860,86,86,False,True,dotProduct,BCEWithLogits
GraphConv,0.6879725897920606,126880,92,92,False,True,dotProduct,BCEWithLogits
GraphConv,0.7149018441403927,126900,82,82,False,True,dotProduct,BCEWithLogits
GraphConv,0.7510566356720203,126920,91,91,False,True,dotProduct,BCEWithLogits
GraphConv,0.7330526926985049,126940,83,83,False,True,dotProduct,BCEWithLogits
GraphConv,0.6694122648528005,126960,97,97,False,True,dotProduct,BCEWithLogits
GraphConv,0.6880987088713035,126980,98,98,False,True,dotProduct,BCEWithLogits
GraphConv,0.7280317085511891,127000,77,77,False,True,dotProduct,BCEWithLogits
GraphConv,0.7065742491073304,127020,69,69,False,True,dotProduct,BCEWithLogits
GraphConv,0.6846238130021914,127040,74,74,False,True,dotProduct,BCEWithLogits
GraphConv,0.7532297866163449,127060,83,83,False,True,dotProduct,BCEWithLogits
GraphConv,0.7273914936855858,127080,83,83,False,True,dotProduct,BCEWithLogits
GraphConv,0.6862682262457939,127100,79,79,False,True,dotProduct,BCEWithLogits
GraphConv,0.6767290249433106,127120,84,84,False,True,dotProduct,BCEWithLogits
GraphConv,0.667609778180172,127140,94,94,False,True,dotProduct,BCEWithLogits
GraphConv,0.7139100346020761,127160,85,85,False,True,dotProduct,BCEWithLogits
GraphConv,0.6689650166932791,127180,83,83,False,True,dotProduct,BCEWithLogits
GraphConv,0.6183819155264724,127200,82,82,False,True,dotProduct,BCEWithLogits
GraphConv,0.7261751033057852,127220,88,88,False,True,dotProduct,BCEWithLogits
GraphConv,0.6128729592794145,127240,73,73,False,True,dotProduct,BCEWithLogits
GraphConv,0.6234410430839002,127260,84,84,False,True,dotProduct,BCEWithLogits
GraphConv,0.7132642998027613,127280,78,78,False,True,dotProduct,BCEWithLogits
GraphConv,0.7781947832613999,127300,73,73,False,True,dotProduct,BCEWithLogits
GraphConv,0.7184418145956607,127320,78,78,False,True,dotProduct,BCEWithLogits
GraphConv,0.7055927281908849,127340,89,89,False,True,dotProduct,BCEWithLogits
GraphConv,0.7443310657596371,127360,84,84,False,True,dotProduct,BCEWithLogits
GraphConv,0.6891127206880941,127380,94,94,False,True,dotProduct,BCEWithLogits
GraphConv,0.6231131505856781,127400,91,91,False,True,dotProduct,BCEWithLogits
GraphConv,0.7349489407102576,127420,81,81,False,True,dotProduct,BCEWithLogits
GraphConv,0.7092444444444445,127440,75,75,False,True,dotProduct,BCEWithLogits
GraphConv,0.7325927395358064,127460,71,71,False,True,dotProduct,BCEWithLogits
GraphConv,0.7261538461538461,127480,65,65,False,True,dotProduct,BCEWithLogits
GraphConv,0.7177545110269548,127500,67,67,False,True,dotProduct,BCEWithLogits
GraphConv,0.6508725839744792,127520,73,73,False,True,dotProduct,BCEWithLogits
GraphConv,0.7018143961927424,127540,82,82,False,True,dotProduct,BCEWithLogits
GraphConv,0.7144688351225765,127560,79,79,False,True,dotProduct,BCEWithLogits
GraphConv,0.6331107562781245,127580,83,83,False,True,dotProduct,BCEWithLogits
GraphConv,0.6466398831263694,127600,74,74,False,True,dotProduct,BCEWithLogits
GraphConv,0.6740321402483564,127620,74,74,False,True,dotProduct,BCEWithLogits
GraphConv,0.6572781065088757,127640,65,65,False,True,dotProduct,BCEWithLogits
GraphConv,0.624294544477291,127660,61,61,False,True,dotProduct,BCEWithLogits
GraphConv,0.6542503283918183,127680,73,73,False,True,dotProduct,BCEWithLogits
GraphConv,0.6957807041117979,127700,61,61,False,True,dotProduct,BCEWithLogits
GraphConv,0.6571091246415921,127720,77,77,False,True,dotProduct,BCEWithLogits
GraphConv,0.6665344177742513,127740,71,71,False,True,dotProduct,BCEWithLogits
GraphConv,0.7096806189248166,127760,71,71,False,True,dotProduct,BCEWithLogits
